;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
15. Feb 06;;;;;;;;;;;;;;;;0.039067693;;;;;;;;;;
15-MAR-2006;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Apr 06;;;;;;;;0.307398593;;;;;;;;;;;;;;;;;;
16-MAY-2006;;;;;0.177225183;;;;;;;;;;;;;;;;;;;;;
18. Jun 06;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jul 06;;;;;;;;;;;;;;;;;;;;0.018110267;;;;;;
17. Aug 06;;;;;;;;;;;;;;;;;;;;0.034010121;;;;;;
16. Sep 06;;;;;;;;;;;;;;;;;;;;;;;;;;
16-OCT-2006;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Nov 06;;;;;;;0.029882656;;;;;;;;;;;;0.310158655;;;;;;;
