;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
17-OCT-2002;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Nov 02;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2002;;;;;;;;;0.102495285;;;0.148008081;;;;;;;;;;;;;;
15. Jan 03;;;;;;;;;0.095359309;;;0.266760771;;;;;;;;;;;;;;
14. Feb 03;;;;;;;;;0.230754618;;;0.229836663;;;;;;;;;0.024663349;;;;;
16-MAR-2003;0.095520616;;;;;;;;0.01237587;;;0.504490585;;;;;;;;;;;0.488814402;;;
15. Apr 03;0.073241323;;;;0.041285432;;;;;;;0.695543426;;;;;;;;0.047633907;;;;0.168482785;;
15-MAY-2003;;;;;0.381644433;;;;;;;0.102601751;;;;;;;;;;;;;;
14. Jun 03;;;;;;0.123472915;;;;;;;;;;;;;;;;;;;;
16. Jul 03;;;;;;;;;;;;0.003241017;;;;;0.009880988;;;;;;;;;
18. Aug 03;;;;;;0.648795027;;;;;;0.724673799;0.168223386;;0.049286009;;0.104021029;;;;;;;0.340301367;;
17. Sep 03;;;;;;;;;;;;0.08197572;0.16578374;;;;;;;;;;;0.085092552;;
17-OCT-2003;;;0.164143649;;;;;;;;;;;;;;;;;;;;;;;
16. Nov 03;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2003;;;;;;;;;;;;;;;;;;;;;0.353074807;;;;;
15. Jan 04;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Feb 04;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAR-2004;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Apr 04;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-2004;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jun 04;;;;;;;;;;;;;;;;;;;;;;;;;;0.027198808
