ref_yr,survey,year,wt_mt,wt_mt_med,num,num_med,depth_wt,wt_mt_log,wt_mt_log_med,num_log,num_log_med,depth_wt_log,CTI,cti_diff,cti_log
IE-IGFS-10-2004,IE-IGFS,2004,4.288698259906343,928.1306389098138,144744.4582792092,10116.142932483499,97.1709560115989,0.08681304140927577,-0.5761733783654042,0.9568008051712468,-0.4193647533208827,-0.09593431598327581,11.54518667549851,1.109005367530557,0.10098987161268172
NEUS-9-2004,NEUS,2004,6.778343748262771,2.968750000000003,NA,NA,51.16743941488747,0.4321385817831208,-0.6574290979578656,NA,NA,-0.32413542083690533,16.003534756578865,0.8461536310529407,0.05432200381068551
Nor-BTS-8-2004,Nor-BTS,2004,2.0988583737800806,221.44955408224055,13590.471622850297,571.5444487546104,213.90755091288426,-0.20800351641623838,-0.3412790359024072,-0.3501409058852699,-0.12436889229534423,-0.12379145546048505,7.2017468059088685,0.7749878603764557,0.11385324937240732
NS-IBTS-1-2004,NS-IBTS,2004,3.8889260891725215,358.6311993140966,58674.69221794946,3665.017889132508,89.4100064027499,-0.2435768016964383,-0.5087097868406713,-0.43281382671166674,-0.7051382211527488,0.1167152162183162,7.959887463949297,0.15292582157368617,0.019399008170296713
SCS-6-2004,SCS,2004,1.501885173202536,15.869266172991859,6787.382459230333,52.690566680814,190.8399132973967,0.40072411753250914,-0.6912952020122353,0.2096264636994726,-0.46705509199260536,0.25016563972448896,8.62989817141018,1.063160752669961,0.13147071938279345
SEUS-4-2004,SEUS,2004,5.841336886945788,289.280292768429,75058.44648835907,8451.287059888162,8.247261306865871,0.16093261206411388,0.06491511964802855,0.5005746998770486,0.34482217908151497,-0.058592644839290386,22.568586489744316,-0.9458930395070624,-0.041057420556071075
SWC-IBTS-2-2004,SWC-IBTS,2004,8.40665060758043,1269.8241969574626,83040.62919698367,12646.92771770423,121.4165113716452,0.12133932829419404,0.2678596235483961,-0.2023180354027339,0.26636242350893563,-0.09703866142151046,7.07561868191828,-4.581075468345191,-0.49922573424856415
WCANN-5-2004,WCANN,2004,17.071468867428436,1292.9070309097247,66163.75117077683,2964.8883394444756,270.86745702896593,-0.35338366387036124,-0.05936848963926086,-0.11904542910977238,-0.04734996810770257,0.03098480854350479,8.990889053477751,-0.04252432532859807,-0.004718563105351397
BITS-2-2005,BITS,2005,4.513218135270631,870.0983933773533,165549.92939525004,11005.72624803067,58.965182254865326,0.16573202264762668,0.3240279220854079,-0.12914153330450184,-0.027840329536547193,-0.03167111498956838,7.604214061266494,-0.12562009147691633,-0.01638483198570425
DFO-QCS-7-2005,DFO-QCS,2005,3.1358445281240736e-12,4.0619354993591146e-10,2.2786569058018618e-10,0,181.56452377103588,-0.11829094649147481,1.0455809796651896,0.7244105505211788,NA,-0.04137306984596612,8.277920567495451,0.0565461223617465,0.006854395137396732
EBS-6-2005,EBS,2005,23.132357718309816,6407.59,50285.98495774643,9822.17,85.25026421285165,0.1471722956368476,0.12180040218959153,0.11114506745740106,0.2181262116825485,0.07245092918387977,6.0779694254564705,0.051592369535489624,0.008524653858527466
EVHOE-10-2005,EVHOE,2005,5.0941399448114915,300.5692820592666,118285.44952994435,5070.538851481465,149.72009214278714,-0.4776843420083671,-0.6964640442180938,-0.43330308688517954,-0.852591566418034,0.02958297112202388,16.548938772279566,0.5038385115366673,0.030918453982065115
FR-CGFS-10-2005,FR-CGFS,2005,2.241442754622427,132.63432337354868,27591.506464868133,1158.1499687056723,31.31489674213407,0.46639076999476897,-0.11248220068344389,0.4347686994987223,-0.8031690246078521,0.06613084725524992,16.070713238979,-0.2834395287970217,-0.01748329498174275
GMEX-6-2005,GMEX,2005,1.1521833579214011,64.28048369189413,47362.12013343414,2841.6902451826622,54.51684802332695,0.4566230743194773,0.8177051276719712,0.4715455743352734,0.7800903857516546,-0.20044418176372547,23.941927396568417,-0.9874282674099035,-0.040414845039200266
GOA-5-2005,GOA,2005,26.32858773006548,2963.4,40085.166300138175,3987.015,173.17815867004484,0.02391261884292905,-0.06456382958426654,-0.08798766162874111,-0.18720404822099754,0.1502566423199141,7.2857536060430235,-0.07418648188697219,-0.010130911918435074
GSL-S-8-2005,GSL-S,2005,3.069044168713922,282.54080977813646,20913.836188364556,1467.3733133345752,NA,0.1553917476017465,0.579580411623558,0.05219772566987899,0.2776769518603766,NA,5.529985639230473,-0.113714487926865,-0.020354682670374345
IE-IGFS-10-2005,IE-IGFS,2005,4.341160529187443,649.2998559770482,65883.00561542732,9144.2079129039,123.30967870853989,0.012158464430409618,-0.35727785986390415,-0.7870893041013319,-0.10101179419014097,0.23822704397039346,13.317678693672669,1.7724920181741588,0.1428237656219831
NEUS-9-2005,NEUS,2005,7.206239530618993,6.796874999999997,NA,NA,54.66617332475054,0.061214465021721155,0.8283219589281965,NA,NA,0.06614173375193089,15.978525352107575,-0.025009404471290964,-0.0015639648905680739
Nor-BTS-8-2005,Nor-BTS,2005,2.029127160218621,102.29948834100036,19238.404006458335,372.73912900089755,210.98654687853195,-0.03378783512059326,-0.7722901453490832,0.3475395587205316,-0.4274634669063986,-0.0137495440269267,7.257982934561714,0.056236128652845885,0.007778349000769005
NS-IBTS-1-2005,NS-IBTS,2005,4.152367990189445,282.74737233592856,71662.8128000329,3556.1229747941134,95.42076574779671,0.06554572166328768,-0.23774073878186106,0.19996346694688846,-0.03016231700793731,0.06506362072148977,9.321913844157903,1.3620263802086061,0.15795309364053794
PT-IBTS-9-2005,PT-IBTS,2005,2.7342529130698976,206.2797095223151,58119.359762826876,1882.7197952287374,190.1287558588681,NA,NA,NA,NA,NA,15.060572837428303,NA,NA
SCS-6-2005,SCS,2005,1.3338862408514156,26.46179063270971,6378.970392243546,78.14264763809717,143.3219012008528,-0.11862443401950541,0.5113175360088192,-0.062058664062271784,0.3940995331541785,-0.2863417685521311,8.669976244160685,0.040078072750505456,0.004633345131534867
SEUS-4-2005,SEUS,2005,4.5829602637023745,308.6187700946577,50091.65506153724,4497.364271111936,8.294960892806447,-0.24261455451858324,0.06471067219575952,-0.4044126679824461,-0.630827236903957,0.0057670266505331115,23.927006063621786,1.3584195738774696,0.05844882080087502
SWC-IBTS-2-2005,SWC-IBTS,2005,12.984945133397149,1966.3689240440392,136660.21403558418,14873.973270538887,133.08784579536365,0.4347674881354771,0.43731019293240614,0.4981676591179959,0.1621986077095141,0.09178252751229549,12.331442701626969,5.255824019708689,0.5554974318490042
WCANN-5-2005,WCANN,2005,15.25026681898757,1209.1973618540953,69052.89500565932,3258.637802850869,286.66076701584274,-0.11281158352118938,-0.06693639316358178,0.04274005762069635,0.0944698839739546,0.05666990740744565,8.894081192026256,-0.09680786145149511,-0.010825716294708835
BITS-2-2006,BITS,2006,4.086224727663314,524.198096651541,138314.71598006933,5877.3118178934255,59.36950214590696,-0.09938896023614517,-0.506736641165627,-0.17974119827836918,-0.6273162218055702,0.006833524193971924,7.451549660759723,-0.15266440050677055,-0.02028055645323632
EBS-6-2006,EBS,2006,17.450605195530724,3950.0949999999993,42526.15265363134,6895.165,82.84673892774956,-0.2818580746558798,-0.4837435959405117,-0.16760716597856223,-0.35382163420788854,-0.028598833493652883,5.9965560321128315,-0.08141339334363895,-0.013485354337206537
EVHOE-10-2006,EVHOE,2006,5.650337884279733,325.6790384296352,128880.7687272156,7436.304109039295,175.21689032242801,0.10362449723805232,0.08023406835087321,0.08578693647114265,0.3829268715823674,0.15725708133537097,15.369821523623749,-1.1791172486558175,-0.07391603175903068
FR-CGFS-10-2006,FR-CGFS,2006,2.2473647472754075,121.82391410121359,24651.005036595343,1465.2245117913067,32.24631197019039,0.0026385609479671972,-0.08501921813287922,-0.11269031664907893,0.23518460367705038,0.0293097606101786,16.566644381577902,0.49593114259890214,0.030392737233243428
